YEAR_FIS,MONTH_NAME,MONTH_NUM,VENDOR,CAMPUS,ADDRESS1,CATEGORY1,TONS
2020,Jul,7,STS,CRC,30 Bay State Rd,Recycling,14.63
2020,Jul,7,STS,CRC,140 Bay State Rd,Recycling,18.655
2020,Jul,7,STS,CRC,512 Beacon St,Recycling,14.11666666
2020,Jul,7,STS,CRC,14 Buswell St,Recycling,21.26597222
2020,Jul,7,STS,CRC,580 Commonwealth Ave,Recycling,12.19166666
2020,Jul,7,STS,CRC,575 Commonwealth Ave,Recycling,10.52333333
2020,Aug,8,STS,CRC,30 Bay State Rd,Recycling,8.943333331
2020,Aug,8,STS,CRC,140 Bay State Rd,Recycling,15.94
2020,Aug,8,STS,CRC,512 Beacon St,Recycling,8.874166665
2020,Aug,8,STS,CRC,14 Buswell St,Recycling,16.275
2020,Aug,8,STS,CRC,580 Commonwealth Ave,Recycling,9.699861111
2020,Aug,8,STS,CRC,575 Commonwealth Ave,Recycling,3.978333332
2020,Sep,9,STS,CRC,30 Bay State Rd,Recycling,13.93583333
2020,Sep,9,STS,CRC,140 Bay State Rd,Recycling,26.29333333
2020,Sep,9,STS,CRC,512 Beacon St,Recycling,13.11666666
2020,Sep,9,STS,CRC,14 Buswell St,Recycling,15.225
2020,Sep,9,STS,CRC,580 Commonwealth Ave,Recycling,10.98586805
2020,Sep,9,STS,CRC,575 Commonwealth Ave,Recycling,4.619999999
2020,Oct,10,STS,CRC,30 Bay State Rd,Recycling,10.395
2020,Oct,10,STS,CRC,140 Bay State Rd,Recycling,8.469999998
2020,Oct,10,STS,CRC,512 Beacon St,Recycling,9.111666664
2020,Oct,10,STS,CRC,14 Buswell St,Recycling,13.95
2020,Oct,10,STS,CRC,580 Commonwealth Ave,Recycling,6.095833334
2020,Oct,10,STS,CRC,575 Commonwealth Ave,Recycling,5.389999999
2020,Nov,11,STS,CRC,30 Bay State Rd,Recycling,8.341666665
2020,Nov,11,STS,CRC,140 Bay State Rd,Recycling,7.314999998
2020,Nov,11,STS,CRC,512 Beacon St,Recycling,6.673333332
2020,Nov,11,STS,CRC,14 Buswell St,Recycling,14.4
2020,Nov,11,STS,CRC,580 Commonwealth Ave,Recycling,9.194548611
2020,Nov,11,STS,CRC,575 Commonwealth Ave,Recycling,6.673333332
2020,Dec,12,STS,CRC,30 Bay State Rd,Recycling,5.903333332
2020,Dec,12,STS,CRC,140 Bay State Rd,Recycling,6.673333332
2020,Dec,12,STS,CRC,512 Beacon St,Recycling,5.389999999
2020,Dec,12,STS,CRC,14 Buswell St,Recycling,12.59666667
2020,Dec,12,STS,CRC,580 Commonwealth Ave,Recycling,6.250902778
2020,Dec,12,STS,CRC,575 Commonwealth Ave,Recycling,3.849999999
2020,Jan,1,STS,CRC,30 Bay State Rd,Recycling,4.619999999
2020,Jan,1,STS,CRC,140 Bay State Rd,Recycling,5.518333332
2020,Jan,1,STS,CRC,512 Beacon St,Recycling,3.721666666
2020,Jan,1,STS,CRC,14 Buswell St,Recycling,21.81333333
2020,Jan,1,STS,CRC,580 Commonwealth Ave,Recycling,7.66390625
2020,Jan,1,STS,CRC,575 Commonwealth Ave,Recycling,2.823333333
2020,Feb,2,STS,CRC,30 Bay State Rd,Recycling,9.496666664
2020,Feb,2,STS,CRC,140 Bay State Rd,Recycling,9.624999998
2020,Feb,2,STS,CRC,512 Beacon St,Recycling,10.52333333
2020,Feb,2,STS,CRC,14 Buswell St,Recycling,29.20333333
2020,Feb,2,STS,CRC,580 Commonwealth Ave,Recycling,9.202569444
2020,Feb,2,STS,CRC,575 Commonwealth Ave,Recycling,6.031666665
2020,Apr,4,STS,CRC,30 Bay State Rd,Recycling,3.336666666
2020,Apr,4,STS,CRC,140 Bay State Rd,Recycling,2.823333333
2020,Apr,4,STS,CRC,512 Beacon St,Recycling,3.336666666
2020,Apr,4,STS,CRC,14 Buswell St,Recycling,9.565972222
2020,Apr,4,STS,CRC,580 Commonwealth Ave,Recycling,6.159999998
2020,Apr,4,STS,CRC,575 Commonwealth Ave,Recycling,3.849999999
2020,May,5,STS,CRC,30 Bay State Rd,Recycling,0.513333333
2020,May,5,STS,CRC,140 Bay State Rd,Recycling,2.309999999
2020,May,5,STS,CRC,512 Beacon St,Recycling,1.283333333
2020,May,5,STS,CRC,14 Buswell St,Recycling,8.157986111
2020,May,5,STS,CRC,580 Commonwealth Ave,Recycling,4.349965277
2020,May,5,STS,CRC,575 Commonwealth Ave,Recycling,3.849999999
2020,Jun,6,STS,CRC,30 Bay State Rd,Recycling,2.566666666
2020,Jun,6,STS,CRC,140 Bay State Rd,Recycling,4.005833332
2020,Jun,6,STS,CRC,512 Beacon St,Recycling,1.796666666
