YEAR_FIS,MONTH_NAME,MONTH_NUM,VENDOR,CAMPUS,ADDRESS1,CATEGORY1,TONS
2018,Jul,7,WM,CRC,100 Ashford St,Trash,5.846
2018,Aug,8,WM,CRC,100 Ashford St,Trash,5.8455
2018,Sep,9,WM,CRC,100 Ashford St,Trash,5.8455
2018,Oct,10,WM,CRC,100 Ashford St,Trash,5.8455
2018,Nov,11,WM,CRC,100 Ashford St,Trash,5.8455
2018,Dec,12,WM,CRC,100 Ashford St,Trash,5.8455
2018,Jul,7,WM,CRC,100 Mountfort St,Trash,9.7425
2018,Aug,8,WM,CRC,100 Mountfort St,Trash,9.7425
2018,Sep,9,WM,CRC,100 Mountfort St,Trash,9.7425
2018,Oct,10,WM,CRC,100 Mountfort St,Trash,9.7425
2018,Nov,11,WM,CRC,100 Mountfort St,Trash,9.7425
2018,Dec,12,WM,CRC,100 Mountfort St,Trash,9.7425
2018,Jul,7,WM,CRC,11 Deerfield St,Trash,3.897
2018,Aug,8,WM,CRC,11 Deerfield St,Trash,3.897
2018,Dec,12,WM,CRC,11 Deerfield St,Trash,0.0
2018,Jul,7,WM,CRC,112 Bay State Rd,Trash,1.62375
2018,Aug,8,WM,CRC,112 Bay State Rd,Trash,1.62375
2018,Sep,9,WM,CRC,112 Bay State Rd,Trash,1.62375
2018,Oct,10,WM,CRC,112 Bay State Rd,Trash,1.62375
2018,Nov,11,WM,CRC,112 Bay State Rd,Trash,1.62375
2018,Dec,12,WM,CRC,112 Bay State Rd,Trash,1.62375
2018,Jul,7,WM,CRC,113 Bay State Rd,Trash,1.9485
2018,Aug,8,WM,CRC,113 Bay State Rd,Trash,1.9485
2018,Sep,9,WM,CRC,113 Bay State Rd,Trash,1.9485
2018,Oct,10,WM,CRC,113 Bay State Rd,Trash,1.9485
2018,Nov,11,WM,CRC,113 Bay State Rd,Trash,1.9485
2018,Dec,12,WM,CRC,113 Bay State Rd,Trash,1.9485
2018,Jul,7,WM,CRC,120 Ashford St,Trash,1.299
2018,Jul,7,WM,CRC,120 Ashford St,Trash,
2018,Jul,7,WM,CRC,120 Ashford St,Trash,
2018,Aug,8,WM,CRC,120 Ashford St,Trash,1.299
2018,Aug,8,WM,CRC,120 Ashford St,Trash,
2018,Aug,8,WM,CRC,120 Ashford St,Trash,
2018,Sep,9,WM,CRC,120 Ashford St,Trash,
2018,Sep,9,WM,CRC,120 Ashford St,Trash,1.299
2018,Sep,9,WM,CRC,120 Ashford St,Trash,6.495
2018,Sep,9,WM,CRC,120 Ashford St,Trash,
2018,Oct,10,WM,CRC,120 Ashford St,Trash,
2018,Oct,10,WM,CRC,120 Ashford St,Trash,1.299
2018,Oct,10,WM,CRC,120 Ashford St,Trash,6.495
2018,Oct,10,WM,CRC,120 Ashford St,Trash,
2018,Nov,11,WM,CRC,120 Ashford St,Trash,
2018,Nov,11,WM,CRC,120 Ashford St,Trash,1.299
2018,Nov,11,WM,CRC,120 Ashford St,Trash,6.495
2018,Nov,11,WM,CRC,120 Ashford St,Trash,
2018,Dec,12,WM,CRC,120 Ashford St,Trash,1.299
2018,Dec,12,WM,CRC,120 Ashford St,Trash,6.495
2018,Dec,12,WM,CRC,120 Ashford St,Trash,
2018,Dec,12,WM,CRC,120 Ashford St,Trash,
2018,Jul,7,WM,CRC,138 Mountfort St,Trash,3.897
2018,Aug,8,WM,CRC,138 Mountfort St,Trash,3.897
2018,Sep,9,WM,CRC,138 Mountfort St,Trash,3.897
2018,Oct,10,WM,CRC,138 Mountfort St,Trash,3.897
2018,Nov,11,WM,CRC,138 Mountfort St,Trash,3.897
2018,Dec,12,WM,CRC,138 Mountfort St,Trash,3.897
2018,Jul,7,WM,CRC,141 Bay State Rd,Trash,1.9485
2018,Aug,8,WM,CRC,141 Bay State Rd,Trash,1.9485
2018,Sep,9,WM,CRC,141 Bay State Rd,Trash,1.9485
2018,Oct,10,WM,CRC,141 Bay State Rd,Trash,1.9485
2018,Nov,11,WM,CRC,141 Bay State Rd,Trash,1.9485
2018,Dec,12,WM,CRC,141 Bay State Rd,Trash,1.9485
2018,Jul,7,WM,CRC,141 Carlton St,Trash,3.2475
2018,Aug,8,WM,CRC,141 Carlton St,Trash,3.2475
2018,Sep,9,WM,CRC,141 Carlton St,Trash,3.2475
2018,Oct,10,WM,CRC,141 Carlton St,Trash,3.2475
2018,Nov,11,WM,CRC,141 Carlton St,Trash,3.2475
2018,Dec,12,WM,CRC,141 Carlton St,Trash,3.2475
2018,Jul,7,WM,CRC,145 Bay State Rd,Trash,1.9485
2018,Aug,8,WM,CRC,145 Bay State Rd,Trash,1.9485
2018,Sep,9,WM,CRC,145 Bay State Rd,Trash,1.9485
2018,Oct,10,WM,CRC,145 Bay State Rd,Trash,1.9485
2018,Nov,11,WM,CRC,145 Bay State Rd,Trash,1.9485
2018,Dec,12,WM,CRC,145 Bay State Rd,Trash,1.9485
2018,Jul,7,WM,CRC,159 Bay State Rd,Trash,3.897
2018,Aug,8,WM,CRC,159 Bay State Rd,Trash,3.897
2018,Sep,9,WM,CRC,159 Bay State Rd,Trash,3.897
2018,Oct,10,WM,CRC,159 Bay State Rd,Trash,3.897
2018,Nov,11,WM,CRC,159 Bay State Rd,Trash,3.897
2018,Dec,12,WM,CRC,159 Bay State Rd,Trash,3.897
2018,Jul,7,WM,CRC,175 Bay State Rd,Trash,3.897
2018,Aug,8,WM,CRC,175 Bay State Rd,Trash,3.897
2018,Sep,9,WM,CRC,175 Bay State Rd,Trash,3.897
